dimension,metric,c2fo_value,taulia_value,winner,gap_notes
Brand Visibility,Total social followers,60355,30073,C2FO,C2FO has 2.0x more
Brand Visibility,Avg Google Trends score,74.4,11.8,C2FO,C2FO dominates branded search interest worldwide
Brand Visibility,Monthly web visits,76800,304400,Taulia,Taulia gets 4.0x more web traffic
Brand Visibility,Brand Visibility score (1-10),7.5,5.5,C2FO,Composite of three metrics above
Content Strategy,Content types live,7,4,C2FO,of 8 categories tracked
Content Strategy,Posts per week (combined),3.35,0.5,C2FO,Taulia social channels are dormant
Content Strategy,Content Strategy score (1-10),9.5,3.8,C2FO,60% breadth + 40% frequency
Customer Perception,Weighted avg rating,4.5,4.55,Taulia,C2FO: 1 review(s)  vs Taulia: 12
Customer Perception,Total reviews tracked,1,12,Taulia,Taulia has 12x more review evidence
Customer Perception,Positive sentiment ratio,1.0,0.83,C2FO,C2FO sample (n=1) too small to be meaningful
Customer Perception,Customer Perception score (1-10),6.0,8.8,Taulia,C2FO capped due to single-review sample
Messaging & Positioning,Headline (H1),The Power toGet Paid Faster,Turn waiting into winning,—,C2FO leads with speed; Taulia with insight/optimisation
Messaging & Positioning,Primary CTA,Request a Demo,Contact Us,—,C2FO has stronger conversion CTAs (Demo Request)
Messaging & Positioning,Messaging Clarity score (1-10),8.0,7.0,C2FO,Manual judgement
Content Maturity,Content types covered,7,4,C2FO,"C2FO-only: blog, newsroom, podcast"
Content Maturity,Content Maturity score (1-10),8.8,5.0,C2FO,Proportion of tracked types live
