company,source,rating,review_title,review_text,sentiment,theme,paraphrased_quote
C2FO,G2,4.5,"Great for getting paid quick","Like: When it came to having a biweekly payroll I was able to get my paycheck right on time even after calculating all my over time, holiday, and other hours to pay properly. It seemed easy for payroll department and they never seemed to complain about anything. I'm just glad I got my money on time and calculated correctly. Dislike: Nothing that I can think of, I got paid on time and never heard from payroll about anything going wrong. Problems solved: Calculated pay quickly and efficiently without any errors.",Positive,Payment Speed,The reviewer was consistently paid on time with accurate calculations and had no complaints about the process.
Taulia,G2,5.0,"Automated invoice processing solution","Like: It is financial technology business that provides supply chain finance and dynamic discount service. Dislike: Everything is good, it boost working capital positions. Access low cost. Improve case forecasting. Choose invoice to finance. Low cost. Dynamic discounting. Take payment any time. Problems solved: It reduce supply chain risk. Strengthing supplier relationship. Gaining an advantage in negotiations. Supporting business growth.",Positive,Pricing/Value,The reviewer highlighted supply chain finance and dynamic discounting as strong value drivers that reduce risk and strengthen supplier relationships.
Taulia,G2,5.0,"A good product","Like: It is used to view POs and check them against the EDI orders that come through electronically through our system. Dislike: I dislike how occasionally it makes me PDF download the PO in order to view it. Most of the time I can just view it in the browser. Problems solved: I am able to View the POs that my customer sends us via EDI. There are a lot of errors that transfer over and I am able to catch them before they become a problem.",Positive,Integration,The reviewer uses Taulia to cross-check POs against EDI orders and catch errors early. Minor annoyance with occasional PDF downloads instead of in-browser viewing.
Taulia,G2,3.5,"Taulia","Like: Taulia is easy to use and navigate. Very straightforward. Dislike: Takes time for some invoices to be processed in the system. Problems solved: No problem solving, just processing invoices that are then sent to clients.",Neutral,Ease of Use,The platform is easy to navigate but invoice processing can be slow with no additional problem-solving capabilities noted.
Taulia,G2,3.5,"Simple software for invoicing and payments","Like: Great to track payments and invoices. Able to administer a large amount of funds across many vendors. Dislike: Invoice input is not user friendly because you have to delete line item totals and put it in again. Problems solved: Making payments on time and tracking invoices.",Neutral,Ease of Use,Good for tracking payments across many vendors but the invoice input process is clunky and requires re-entering line item totals.
Taulia,G2,4.5,"One of the best solutions to unlock working capital","Like: Taulia offers solution to enable touchless AP, their robust supplier on boarding plan facilitates quick adoption. Dislike: Taulia doesn't have the compatibility to integrate with other workflow solutions. It doesn't enable supplier maintenance process or supplier self service feature for those suppliers not on the network. Problems solved: E invoicing and dynamic discounting its most deployed solution enabling optimising DPO and unlocking working capital.",Positive,Integration,Strong touchless AP and supplier onboarding capabilities but lacks compatibility with other workflow tools and has limited supplier self-service features.
Taulia,G2,4.0,"Very User friendly, easy interface","Like: The cleanliness of the software, when dealing with payments and different amounts of invoices, it's easy to navigate and use. Dislike: Sometimes it takes a few minutes to display a payment as invoices, thus invoicing could happen twice. Problems solved: Easy payments, fewer steps between payment as well. Makes for a more efficient process for both sides.",Positive,Ease of Use,Clean and easy-to-navigate interface that streamlines payments but occasionally has display delays that risk duplicate invoicing.
Taulia,Capterra,5.0,"simple yet thorough","Pros: I love the layout- simple yet thorough. It's very easy to navigate and use. Cons: Although emails are sent when payment is on the way, I still wish invoices had status dates for payment tracking. Overall: I honestly had to think hard about a con. I would highly recommend.",Positive,Ease of Use,The reviewer loves the simple and thorough layout but wishes invoices showed status dates for better payment tracking.
Taulia,Capterra,5.0,"Taulia Has Reliable and Incredible Features","Pros: The capabilities of Taulia are excellent. Taulia makes work easier for us. Cons: No dislikes concerning Taulia. Taulia is amazing to use.",Positive,Other,The reviewer found Taulia's overall capabilities excellent and reported no downsides.
Taulia,Capterra,5.0,"Taulia Has Been a Reliable and Easy to Use Tool","Pros: Taulia has been a great and reliable solution. Taulia meets our needs. Cons: No dislikes about Taulia. Taulia is so amazing.",Positive,Other,The reviewer considers Taulia a reliable solution that fully meets their needs with no complaints.
Taulia,Capterra,5.0,"Taulia Guarantees Reliability","Pros: I am impressed by the effectiveness of Taulia. Taulia has been so reliable. Cons: Taulia is so amazing and impressive to use. No cons about Taulia.",Positive,Other,The reviewer praised Taulia's reliability and effectiveness with no criticism.
Taulia,Capterra,4.0,"Makes Invoicing Easier","Pros: One of our vendors uses this software and we are required to use it when invoicing them. It is a very easy to use platform. Cons: Changing invoice details after they are submitted is somewhat difficult.",Positive,Supplier Experience,Easy-to-use invoicing platform from the supplier side but editing submitted invoice details is difficult.
Taulia,Capterra,5.0,"An excellent solution for invoice management--make the supplier do it!","Pros: Pushing invoice management and matching, including supplier information management (1099 and ACH updates) to the supplier is a great way to reduce AP workload. Cons: It can be a difficult thing to sell internally because this piece by itself doesn't do all that much for the company -- until you add the early pay/dynamic discounting capabilities.",Positive,Supplier Experience,Shifting invoice management to suppliers reduces AP workload significantly but the standalone value is hard to justify internally without the dynamic discounting add-on.
